Name,Date,Price
AEX,1998-07-31,557.85
AEX,1998-08-31,493.09
AEX,1998-09-30,423.9
AEX,1998-10-30,450.68
AEX,1998-11-30,499.44
AEX,1998-12-31,538.36
AEX,1999-01-29,532.09
AEX,1999-02-26,536.12
AEX,1999-03-31,536.93
AEX,1999-04-30,573.52
AEX,1999-05-31,554.06
AEX,1999-06-30,561.19
AEX,1999-07-30,552.77
AEX,1999-08-31,572.42
AEX,1999-09-30,547.94
AEX,1999-10-29,571.82
AEX,1999-11-30,602.11
AEX,1999-12-31,671.41
AEX,2000-01-31,612.38
AEX,2000-02-29,664.28
AEX,2000-03-31,662.29
AEX,2000-04-28,661.38
AEX,2000-05-31,655.5
AEX,2000-06-30,672.14
AEX,2000-07-31,668.18
AEX,2000-08-31,689.52
AEX,2000-09-29,661.52
AEX,2000-10-31,680.56
AEX,2000-11-30,649.92
AEX,2000-12-29,637.6
AEX,2001-01-31,639.98
AEX,2001-02-28,597.33
AEX,2001-03-30,558.36
AEX,2001-04-30,593.09
AEX,2001-05-31,585.15
AEX,2001-06-29,573.5
AEX,2001-07-31,548.72
AEX,2001-08-31,523.63
AEX,2001-09-28,453.87
AEX,2001-10-31,460.33
AEX,2001-11-30,492.67
AEX,2001-12-31,506.78
AEX,2002-01-31,500.92
AEX,2002-02-28,494.91
AEX,2002-03-29,531.21
AEX,2002-04-30,511.28
AEX,2002-05-31,484.55
AEX,2002-06-28,439.66
AEX,2002-07-31,363.59
AEX,2002-08-30,371.59
AEX,2002-09-30,296.36
AEX,2002-10-31,342.84
AEX,2002-11-29,361.99
AEX,2002-12-31,322.73
AEX,2003-01-31,294.94
AEX,2003-02-28,266.21
AEX,2003-03-31,248.54
AEX,2003-04-30,282.63
AEX,2003-05-30,280.57
AEX,2003-06-30,291.55
AEX,2003-07-31,317.49
AEX,2003-08-29,329.41
AEX,2003-09-30,306.78
AEX,2003-10-31,330.22
AEX,2003-11-28,332.19
AEX,2003-12-31,337.65
AEX,2004-01-30,353.31
AEX,2004-02-27,356.59
AEX,2004-03-31,338.87
AEX,2004-04-30,341.41
AEX,2004-05-31,337.19
AEX,2004-06-30,345.13
AEX,2004-07-30,329.91
AEX,2004-08-31,323.12
AEX,2004-09-30,323.94
AEX,2004-10-29,330.48
AEX,2004-11-30,337.15
AEX,2004-12-31,348.08
AEX,2005-01-31,360.42
AEX,2005-02-28,374.37
AEX,2005-03-31,369.56
AEX,2005-04-29,348.2
AEX,2005-05-31,364.68
AEX,2005-06-30,383.83
AEX,2005-07-29,395.77
AEX,2005-08-31,389.6
AEX,2005-09-30,402.99
AEX,2005-10-31,394.16
AEX,2005-11-30,418.79
AEX,2005-12-30,436.78
AEX,2006-01-31,450.5
AEX,2006-02-28,458.72
AEX,2006-03-31,468.69
AEX,2006-04-28,469.4
AEX,2006-05-31,440.41
AEX,2006-06-30,440.25
AEX,2006-07-31,454.06
AEX,2006-08-31,469.01
AEX,2006-09-29,483.62
AEX,2006-10-31,486.57
AEX,2006-11-30,477.67
AEX,2006-12-29,495.34
AEX,2007-01-31,499.81
AEX,2007-02-28,490.21
AEX,2007-03-30,510.5
AEX,2007-04-30,530.81
AEX,2007-05-31,540.39
AEX,2007-06-29,548.21
AEX,2007-07-31,533.99
AEX,2007-08-31,522.73
AEX,2007-09-28,540.98
AEX,2007-10-31,547.85
AEX,2007-11-30,507.58
AEX,2007-12-31,515.77
AEX,2008-01-31,441.33
AEX,2008-02-29,446.53
AEX,2008-03-31,442.43
AEX,2008-04-30,475.56
AEX,2008-05-30,485.52
AEX,2008-06-30,425.93
AEX,2008-07-31,399.95
AEX,2008-08-29,412.84
AEX,2008-09-30,331.45
AEX,2008-10-31,267.69
AEX,2008-11-28,252.55
AEX,2008-12-31,245.94
AEX,2009-01-30,248.6
AEX,2009-02-27,219.81
AEX,2009-03-31,216.98
AEX,2009-04-30,240.76
AEX,2009-05-29,259.45
AEX,2009-06-30,254.71
AEX,2009-07-31,283.17
AEX,2009-08-31,296.27
AEX,2009-09-30,311.35
AEX,2009-10-30,302.36
AEX,2009-11-30,305.9
AEX,2009-12-31,335.33
AEX,2010-01-29,327.9
AEX,2010-02-26,317.74
AEX,2010-03-31,344.22
AEX,2010-04-30,345.91
AEX,2010-05-31,320.7
AEX,2010-06-30,316.81
AEX,2010-07-30,330.64
AEX,2010-08-31,316.47
AEX,2010-09-30,334.39
AEX,2010-10-29,337.23
AEX,2010-11-30,327.41
AEX,2010-12-31,354.57
AEX,2011-01-31,360.75
AEX,2011-02-28,369.13
AEX,2011-03-31,365.62
AEX,2011-04-29,359.94
AEX,2011-05-31,349.44
AEX,2011-06-30,339.65
AEX,2011-07-29,329.17
AEX,2011-08-31,292.93
AEX,2011-09-30,280.18
AEX,2011-10-31,307.5
AEX,2011-11-30,299.68
AEX,2011-12-30,312.47
AEX,2012-01-31,318.47
AEX,2012-02-29,324.25
AEX,2012-03-30,323.51
AEX,2012-04-30,308.3
AEX,2012-05-31,290.09
